chunk_id,document,page,collection,characters,estimated_tokens,starts_with_word,ends_with_terminal,text
advent_cms.pdf:p8:c2,advent_cms.pdf,8,official,439,78,True,False,"• Fully Integrated TDL Functionality • Integration to Platform Combat System Units • AI Supported Rule Based Decision Support System • Operational Capabilities SUPERIOR CAPABILITY EMPOWERMENT ADVENT offers a versatile suite of capabilities designed to enhance naval operations. From unparalleled situational awareness to advanced communication systems, ADVENT is more than just a combat management system. ADVENT COMBAT MANAGEMENT SYSTEM 7"
advent_cms.pdf:p9:c1,advent_cms.pdf,9,official,838,150,True,True,"TRACK MANAGEMENT Situational Awareness with effective track management which serves as the backbone of the software system, managing the lifecycle of tracks, conducting track data fusion to create a unified view of multiple data received from various sources. It processes correlation and merging algorithms. SYSTEM MANAGEMENT Optimized management of system services, a vital feature for initiating, monitoring, and managing session management and capability availability of other system components and tasks. WEAPON CONTROL AND MONITORING Software modules designed to integrate and adapt different weapon systems into ADVENT. ENGAGEMENT PLANNING Engagement planning and execution feature that manages the weapon and sensor resource pool (including those shared by other platforms) to plan and execute appropriate actions against threats."
advent_cms.pdf:p9:c2,advent_cms.pdf,9,official,796,140,True,True,"that manages the weapon and sensor resource pool (including those shared by other platforms) to plan and execute appropriate actions against threats. OPERATION SUPPORT Management, planning and execution of all other operational tasks. NAVIGATION SUPPORT Navigation planning and execution which provides support not only for navigation planning and execution, but also swept-channel, navigation safety and anchoring functionalities. GEOGRAPHICAL DISPLAY SYSTEM Rich and flexible display capability that can decode various map formats and present them in various projections with NATO or non-NATO/national symbology standards. Effective tactical display features (2D/3D, Digital digital/ aAnalog TV and radar video display is also other functionalities provided as a part of the display capability."
advent_cms.pdf:p9:c3,advent_cms.pdf,9,official,528,96,True,False,"features (2D/3D, Digital digital/ aAnalog TV and radar video display is also other functionalities provided as a part of the display capability. KEY SOFTWARE COMPONENTS The software components of ADVENT have been independently developed following the ADVENT style guide, offering diverse capabilities and services. Integration of these modules can be easily accomplished by providing data interfaces defined by the system. The core software components of ADVENT and their functionalities are detailed as follows havelsan.com.tr8"
advent_cms.pdf:p10:c1,advent_cms.pdf,10,official,721,125,True,True,"OUTSTANDING FEATURES NEC is a revolutionary functionality that allows ADVENT CMS to extend its capabilities across the entire force, fostering unified combat, training, and operational coordination. With NEC, main aim is to enhance warfare effectiveness and optimize ammunition resource utilization through common engagement strategies: • Comprehensive threat evaluation is conducted for the entire force. • Shared sensors of any platform can be used by other platforms. • Remote designations • Remote weapon assignment requests • Utilizing Force-Wide Weapon/Sensor Allocation (WASA), engagement planning considers the collective resources of the entire force, enabling cross-platform synergy for increased effectiveness."
advent_cms.pdf:p10:c2,advent_cms.pdf,10,official,876,140,False,False,"(WASA), engagement planning considers the collective resources of the entire force, enabling cross-platform synergy for increased effectiveness. ADVENT facilitates common operations, enabling centralized planning, distribution and simultaneous execution and execution for tasks such as search and rescue, navigation, and operations. This centralized approach enhances overall operational performance. Moreover, ADVENT offers advanced training capabilities, both virtually and in real environments. Training sessions can be conducted individually on each platform or collaboratively with others operating under NEC. With shared virtual training, platforms can engage in synchronized exercises, preparing for threats collectively and maximizing training efficiency. Stand Against the Threat Collectively: Network Enabled Combat (NEC) Capability ADVENT COMBAT MANAGEMENT SYSTEM 9"
advent_cms.pdf:p11:c1,advent_cms.pdf,11,official,758,127,True,False,"havelsan.com.tr COMMON ENGAGEMENT • Facilitating the sharing of weapon and sensor capabilities among platforms within the task force • Formulating comprehensive plans for the task group, considering threats, units, and safeguarded resources • Ensuring the coordinated execution of distributed plans. COMMON OPERATION • Centralized operational planning • Enhancing operational performance through coordinated and controlled execution • Augmenting situational awareness through shared tactical intelligence COMMON TRAINING • Advanced training capabilities provided in virtual and real settings • Unified training in a shared virtual environment enabled by NEC • Interactive virtual training for enhanced engagement NEC BRINGS CROSS-PLATFORM INTEROPERABILITY 10"
advent_cms.pdf:p12:c1,advent_cms.pdf,12,official,891,155,True,True,"ADVENT offers robust support for multiple instances of various Tactical Data Links (TDLs), facilitating concurrent data exchange through a versatile communication matrix. Through dedicated exchange rules, ADVENT enables precise control over data flow among participants. Furthermore, ADVENT excels in defining, managing, and controlling multiple instances of both NATO and Non-NATO Links simultaneously. With automatic data forwarding capability across tactical data link networks, platforms equipped with different link systems can effortlessly share tactical data over a unified tactical data link environment. Comprehensive support for all link types is seamlessly integrated into the ADVENT CMS software, eliminating the need for additional software, hardware, or link data processor units. These capabilities are provided as standard features without the burden of additional licensing."
advent_cms.pdf:p12:c2,advent_cms.pdf,12,official,766,147,True,False,"software, hardware, or link data processor units. These capabilities are provided as standard features without the burden of additional licensing. ADVLink, leveraging commercial hardware, remains independent of any specific supplier or brand/model. This flexibility allows ADVLink to extend tactical data link capability to platforms lacking inherent link capabilities, utilizing existing communication infrastructures and compatible data modems. ADVENT CMS has built in support for following Tactical Data Links: TACTICAL DATA LINKS (TDL) CAPABILITY • NATO Links : Link 11, Link 16 and Link 22 (JREAP , SIMPLE, VMF) • Non-NATO Links : Link Y and Link Green • ADVENT Native Link : Link H (Fully customizable Native Link Capability) ADVENT COMBAT MANAGEMENT SYSTEM 11"
advent_cms.pdf:p14:c1,advent_cms.pdf,14,official,494,94,True,False,"ADVENT has taken a big step forward into the realm of artificial intelligence in which the identification & classification, anomaly detection, navigation safety, situational awareness and many other tools are sharpened with the convenience, speed and power of the AI. The big data, machine learning, image recognition and LLM technologies are utilized to overcome the difficulties in common problem areas of the navy domain. AI-SUPPORTED DECISION CAPABILITIES ADVENT COMBAT MANAGEMENT SYSTEM 13"
advent_cms.pdf:p15:c1,advent_cms.pdf,15,official,844,152,True,True,"AI-SUPPORTED DECISION CAPABILITIES 14 havelsan.com.tr • Anomaly detection in areas of high vessel traffic • Classification and identification in adverse weather conditions and low-visibility to maintain a clear recognized maritime picture. • Resource optimization in Search and Rescue operations • Detection and classification of asymmetrical airborne objects in the vicinity, which cannot be detected by conventional sensor systems • Detection of anomalies that occur onboard the surface platforms, including fires, accidental tripping, falling, fainting or injuries of crew personnel • System maintenance, new personnel orientation, fault finding and problem solving. • Voice command and audible feedbacks to expedite the form filling on HMIs and execution of non-critical tasks. • Track continuity in intermittent tracking losses of sensors."
advent_cms.pdf:p16:c1,advent_cms.pdf,16,official,857,139,True,True,"TRAINING CAPABILITIES ADVENT provides advanced training capabilities, available both in virtual environments through simulators and in real environments with live systems. These robust training functionalities are accessible for individual ships and can also facilitate collaborative training among multiple ships, leveraging the network-enabled capability. COMBAT SUPPORT CAPABILITIES ADVENT offers access to tactics and procedures outlined in NATO and National Tactical publications, providing invaluable support to command teams in executing combat missions effectively. NON-COMBAT OPERATIONS In the contemporary landscape, naval forces play pivotal roles in humanitarian endeavors. ADVENT provides an array of capabilities to bolster non-combat operations, including evacuation missions, maritime control efforts, and search and rescue (SAR) operations."
advent_cms.pdf:p16:c2,advent_cms.pdf,16,official,565,94,True,False,"of capabilities to bolster non-combat operations, including evacuation missions, maritime control efforts, and search and rescue (SAR) operations. NAVIGATION AND OPERATIONAL SUPPORT ADVENT CMS offers operators a range of solutions tailored to ensure safe navigation and seamless execution of operational tasks. These include planning, previewing, and executing operations, implementing safety controls throughout navigation, as well as providing various navigational assistance services such as planning, execution, and anchoring. ADVENT COMBAT MANAGEMENT SYSTEM 15"
advent_cms.pdf:p17:c1,advent_cms.pdf,17,official,837,136,True,True,"havelsan.com.tr PLATFORM SYSTEMS INTEGRATION ADVENT stands as a platform-agnostic CMS, seamlessly integrating with any platform through its plug-and-play architecture. Its flexibility and cost-effectiveness allow for easy integration of various weapon and sensor systems, including radars, SSM, SAM, sonar, and more, fostering mutual engagement infrastructure among diverse platforms. RULE-BASED DECISION SUPPORT SYSTEM Equipped with a rule-based decision support system, ADVENT empowers operators to define rules analyzing the behavior of detected tracks. Operators can strategically plan actions based on these rules, ensuring swift and effective responses to changing conditions. DYNAMIC SUBSYSTEM INTEGRATION ADVENT, being a platform-independent CMS, seamlessly integrates with any platform, thanks to its plug-and-play architecture."
advent_cms.pdf:p17:c2,advent_cms.pdf,17,official,889,157,True,True,"SUBSYSTEM INTEGRATION ADVENT, being a platform-independent CMS, seamlessly integrates with any platform, thanks to its plug-and-play architecture. Adding new weapon or sensor systems to ADVENT is effortless and requires minimal adaptive change to the CMS software. It supports flexible and dynamic integration of various systems such as radars, SSM, SAM, sonar, etc., fostering mutual engagement infrastructure among different platforms. Certain combat system units, like SONAR, ESM, TDL, and weapon systems, operate in full integration with ADVENT, eliminating the need for dedicated consoles. These systems can be accessed and utilized by any CMS console with full functionality, reducing integration costs and providing redundancy. CAPABILITY POOL ADVENT evolves alongside technological advancements in combat systems and warfare, ensuring it remains updated and continuously developed."
advent_cms.pdf:p17:c3,advent_cms.pdf,17,official,799,147,True,True,"POOL ADVENT evolves alongside technological advancements in combat systems and warfare, ensuring it remains updated and continuously developed. With each platform integration, new capabilities are acquired and accumulated in a pool for future reuse. This expanding pool allows for the creation of platform configurations tailored to specific job descriptions and staff structures by selecting suitable capabilities. UNMANNED VEHICLE SUPPORT ADVENT ROTA serves as a UxV-specific Mission Management System version of ADVENT, operating on a single workstation within the UxV. Integrated with payloads and navigation autonomy, ADVENT ROTA facilitates seamless control of the boat. The ADVENT CMS node on any platform acts as the UxV control station, eliminating the need for additional control stations."
advent_cms.pdf:p17:c4,advent_cms.pdf,17,official,857,152,True,False,"control of the boat. The ADVENT CMS node on any platform acts as the UxV control station, eliminating the need for additional control stations. It coordinates with ROTA to control and utilize payloads with operator assistance, while also assigning missions, routes, and waypoints. ROTA, in turn, provides route and waypoint information to the autonomy system. ADDITIONAL FEATURES The ADVENT CMS offers a user-friendly and adaptable operator interface built on state-of-the-art hardware and software infrastructure. In addition to its intuitive design, ADVENT boasts various capabilities including multiple workspaces, authorized function access, dynamic support, contextual menus, English language assistance, interactive alert infrastructure, 2D or 3D status presentation, and infrastructure for dynamic data and video recording, playback, and analysis. 16"
advent_cms.pdf:p18:c1,advent_cms.pdf,18,official,899,159,True,True,"ADVENT, a CMS Product Tree, caters to the varied combat management system requirements across diverse platforms. Its modular and scalable design enables the provision of products tailored to mission needs in various configurations, surface, underwater, air platforms, land settlements, and unmanned vehicles. ADVENT CMS serves as the central component within naval combat systems for surface platforms, fulfilling the command and control needs of the commanding team. It facilitates the creation of tactical situational awareness based on ship and task organization levels, supporting functions such as situational awareness, threat assessment and prioritization, as well as engagement planning and implementation. Additionally, ADVENT KALYON equips the command team with decision support for ongoing operations, offering planning and execution capabilities for all combat and non-combat activities."
advent_cms.pdf:p18:c2,advent_cms.pdf,18,official,664,114,True,False,"the command team with decision support for ongoing operations, offering planning and execution capabilities for all combat and non-combat activities. It presents a comprehensive and comprehensible depiction of air, surface, land, and underwater scenarios while enabling the effective and efficient utilization of the platform’s weapon sensor systems. ADVENT enables the platform to function as a command ship under the Network Enabled Capability framework, allowing for centralized planning of operations, training, and engagements, ensuring controlled and coordinated execution. ADVENT VERSATILE PLATFORM SOLUTIONS ADVENT KALYON ADVENT COMBAT MANAGEMENT SYSTEM 17"
advent_cms.pdf:p19:c1,advent_cms.pdf,19,official,578,95,True,False,"KEY FEATURES • Functionality to operate as a command vessel, facilitating network- enabled capability for coordinated joint engagement, operations, and training oversight. • Enhanced air defense warfare capability achieved through collaborative threat assessment, engagement planning, and execution supervision. • Management and operation of numerous unmanned vehicles via the CMS, encompassing ground control station responsibilities. • Provision of a data transfer center capability for various tactical data links, supporting multiple links simultaneously. 18 havelsan.com.tr"
advent_cms.pdf:p20:c1,advent_cms.pdf,20,official,643,117,True,False,"Along with other CMS capabilities, ADVENT provides MCM-specific main services for Planning, Preparation, Realization and Post-Op Analysis to execute Mine Warfare operations by Detection, Classification, Identification and Disposal of mine threats, tactically adjusting the plan execution when deemed necessary. Additionally, ADVENT KALYON provides the following MCM support services: ADVENT MINE WARFARE FEATURES ADVENT COMBAT MANAGEMENT SYSTEM 19 • MW Degree of Readiness • MW Threat Warning • MW Coordination • Task Organization • Warfare Doctrine Management • Threat Warning Management • Safety Against Mines • Mine Searching • Mine Hunting"
advent_cms.pdf:p21:c1,advent_cms.pdf,21,official,858,169,True,True,"20 havelsan.com.tr ADVENT also has the Mine Database capability to store, process and provide mine database including tactical and environmental data for mine warfare. Integration with Mine Data Center (MDC) for online & offline data exchange between mine hunting platform’s CMS and MDC can easily be maintained. Intuitive tooling helps the officers to visually define the Q-Routes, and share the them with task force, and instantaneously execute the swept channel navigation with the Lead Through Vessel (L TV) roles. Along with the support for MW planning, surface marking and execution of clearance techniques while keeping track of positions of AUVs, ROVs and mines, it also provides collaboration support with aerial platforms to carry out visual mine search. Operators can mark detected and neutralized mines and cleared areas using military symbology."
advent_cms.pdf:p22:c1,advent_cms.pdf,22,official,855,148,True,True,"ADVENT MARTI is a state-of-the-art Airborne Command and Control System, specifically designed for special mission aircraft and helicopters. With its cutting-edge capabilities in realtime surveillance, situational awareness, and command and control, ADVENT MARTI provides excellent decision support for mission-critical operations. ADVENT MARTI’s framework allows for the time and cost-effective integration of various sensors and weapons. The system’s advanced data processing and communication capabilities enable efficient collection, analysis, and fusion of data from these sources, as well as from tactical data links. The System provides all the command and control functions within its own architecture, such as tactical picture compilation to evaluate the tactical situation and take the necessary actions, decision support and engagement planning."
advent_cms.pdf:p22:c2,advent_cms.pdf,22,official,425,77,True,False,"such as tactical picture compilation to evaluate the tactical situation and take the necessary actions, decision support and engagement planning. NATO-compliant ADVENT MARTI can be configured and adapted with a wide range of sensors and equipment to meet the requirements of various platforms (Maritime Patrol Aircraft, Maritime Surveillance Aircraft, Helicopters, UAVs, etc.). ADVENT MARTI ADVENT COMBAT MANAGEMENT SYSTEM 21"
advent_cms.pdf:p23:c1,advent_cms.pdf,23,official,285,48,True,False,"KEY FEATURES • Intelligence, Surveillance, Reconnaissance • Anti-Submarine Warfare/Anti-Surface Warfare • Electronic Warfare • Search and Rescue • Tactical Data Link Relay • Prevention of Illegal Activities such as Drug Trafficking, Human Trafficking, Ship Hijacking 22 havelsan.com.tr"
advent_cms.pdf:p24:c1,advent_cms.pdf,24,official,505,86,True,False,"ADVENT ROTA stands out as a robust mission management system, playing a pivotal role in autonomously executing maritime security operations such as reconnaissance, surveillance, and patrol missions. Engineered to enhance the navigation system of unmanned platforms, this system boasts modular and flexible interfaces, facilitating the management of sensor/weapon systems and supporting network-enabled operations for seamless integration with manned systems. ADVENT ROTA ADVENT COMBAT MANAGEMENT SYSTEM 23"
advent_cms.pdf:p25:c1,advent_cms.pdf,25,official,789,131,True,True,"havelsan.com.tr KEY FEATURES • Facilitating easy integration from manned systems to unmanned platforms for swift adaptation to diverse missions • Offering automatic and autonomous decision support capacity through integration with unmanned platforms compliant with NATO standards and shared data/command interfaces • Enabling joint missions with systems equipped with ADVENT CMS through Network Enabled Combat Capability • Executing autonomous tasks with modules/submodules incorporating big data processing, artificial intelligence, and sensor data fusion • Operating at various levels with unmanned systems and command control systems through flexible integration architecture Crafted as an ADVENT CMS iteration, ROTA leverages identical data structures and communication infrastructure."
advent_cms.pdf:p25:c2,advent_cms.pdf,25,official,850,148,True,False,"flexible integration architecture Crafted as an ADVENT CMS iteration, ROTA leverages identical data structures and communication infrastructure. Consequently, alongside its utilization with Mobile GCS (Ground Control Station), it offers the capability for direct command and data flow between platforms carrying ADVENT CMS (Surface, Land, and Air Platforms) and unmanned vehicles for monitoring, directing, controling and transfering the control of the UxVs without the need for a dedicated console. Through ROTA and ADVENT CMS, the utilization of unmanned vehicle payloads can be effectively facilitated. Designed in a modular format compliant with NATO standards, ROTA streamlines platform integration with standardized command, data, and protocol interfaces, offering adaptable unmanned system solutions tailored to evolving warfare conditions. 24"
advent_cms.pdf:p26:c1,advent_cms.pdf,26,official,815,133,True,True,"ADVENT UFUK, tailored with services for maritime security and situational awareness, serves as a Command Control and Intelligence/Information Management System. Engineered to be utilized across multiple centers with redundancy in maritime security, ADVENT UFUK aggregates data from diverse sensors deployed along the coastline, including Maritime Surveillance Radars, Coastal Surveillance Radars, Navigation Radars, Electronic Support Systems, IFF, ADSB, and AIS. It then integrates this data with various Command Control/Information Systems, undertaking tasks such as combining, merging, classifying, identifying, and presenting the collected data to users. Moreover, ADVENT UFUK shares the established Recognized Maritime Picture (RMP) with relevant military/civil authorities based on authorization requirements."
advent_cms.pdf:p26:c2,advent_cms.pdf,26,official,716,129,True,False,"ADVENT UFUK shares the established Recognized Maritime Picture (RMP) with relevant military/civil authorities based on authorization requirements. The system can disseminate the created situational awareness to all elements present in the operational environment through Tactical Data Links and Satellite Communication Devices. ADVENT UFUK KEY FEATURES • Track Fusion capability with high accuracy and performance • Efficient track processing and data storage for a large number of tracks • Dynamic sensor addition/introduction capability • Operation of Tactical Data Link (TDL) systems, including multiple TDL systems of the same type • Enhancement of anomaly detection capability ADVENT COMBAT MANAGEMENT SYSTEM 25"
advent_cms.pdf:p28:c1,advent_cms.pdf,28,official,807,136,True,True,"ADVENT MÜREN is new-generation Command and Control System for Underwater Platforms which combines the capabilities of ADVENT Combat System and MÜREN System developed for Preveze Class Submarines. ADVENT MÜREN revolutionizes submarine operations. Designed to process, display, and act upon data from existing submarine sensors, ADVENT MÜREN serves as the ultimate decision support tool, empowering users with unprecedented control. Benefiting from HAVELSAN’s renowned expertise in command and control, ADVENT MÜREN enhances the efficiency of users, decision- makers, and operations by infusing platforms with advanced intelligence. Tailored for coastal, open sea, and complex underwater environments, ADVENT MÜREN encompasses specialized analysis systems essential for underwater surveillance and navigation."
advent_cms.pdf:p28:c2,advent_cms.pdf,28,official,916,144,True,False,"sea, and complex underwater environments, ADVENT MÜREN encompasses specialized analysis systems essential for underwater surveillance and navigation. Seamlessly integrated with sonar, sensors, and other subsystems, it optimizes the performance of each component, ensuring maximum effectiveness. With ADVENT MÜREN, submarines gain a complete understanding of their surroundings, enabling precise tactical assessment and swift decision-making. The system processes sonar and sensor data rapidly and accurately, presenting a unified and comprehensive underwater tactical picture. Streamlining submarine management and enhancing operational efficiency, ADVENT MÜREN facilitates seamless integration with other forces through Tactical Data Link integration. This enables real-time data collection and synchronization, elevating situational awareness to unparalleled levels. ADVENT MÜREN ADVENT COMBAT MANAGEMENT SYSTEM 27"
advent_cms.pdf:p29:c1,advent_cms.pdf,29,official,278,53,True,False,havelsan.com.tr KEY FEATURES • Acoustic and Non-Acoustic Sensor integration • Target Motion Analysis • Tracking and target management • Tactical planning and Decision Support • Navigation / Tactical navigation • Target Engagement • Firing and guiding various types of weapons 28
advent_cms.pdf:p30:c1,advent_cms.pdf,30,official,833,147,True,True,"As the integration of ADVENT Combat Management System (CMS) continues to empower warships across various naval fleets, the need for proficient operators becomes increasingly paramount. Acknowledging the evolving landscape of naval operations, HAVELSAN has taken proactive measures by establishing ADVENT ACADEMY. This specialized institution is dedicated to equipping personnel with the essential skills and knowledge required to effectively utilize the ADVENT CMS in any warfare scenario. Whether operators are retiring or transitioning to new roles, ADVENT ACADEMY stands ready to ensure seamless continuity in operational readiness. At ADVENT ACADEMY, we are committed to providing comprehensive training on the functionalities and capabilities of ADVENT CMS, encompassing the intricacies of Network Enabled Capability and beyond."
advent_cms.pdf:p30:c2,advent_cms.pdf,30,official,709,131,True,False,"comprehensive training on the functionalities and capabilities of ADVENT CMS, encompassing the intricacies of Network Enabled Capability and beyond. Through a structured curriculum and hands-on learning experiences, operators will gain proficiency in utilizing all aspects of the system, empowering them to navigate complex operational environments with confidence and precision. Training sessions can be conducted either on board or in a simulator room situated in Istanbul. Join us at ADVENT ACADEMY and embark on a journey towards mastery in combat management systems, ensuring readiness for the challenges of tomorrow’s naval warfare. ADVENT ACADEMY KEEP YOUR NAVY READY ADVENT COMBAT MANAGEMENT SYSTEM 29"
advent_cms.pdf:p31:c1,advent_cms.pdf,31,official,639,107,True,False,"havelsan.com.tr AI-DRIVEN LEARNING AND BEHAVIORAL DEVELOPMENT FOR COMPUTER GENERATED FORCES (CGFS) IN SIMULATED ENVIRONMENTS, ALONG WITH AI-POWERED GENERATION OF INTRICATE TRAINING SCENARIOS THE SMART OPERATOR ASSISTANT (SOPA) OFFERS RECOMMENDATIONS BASED ON THE OPERATOR’S PAST DECISIONS AND BEHAVIORS ACROSS DIFFERENT SITUATIONS VOICE TRIGGERED SYSTEM CONTROL ADVENT ONGOING AI WORK A DEEP LEARNING MODEL TRAINED ON CONTEXTUAL DATA AND OPERATOR INPUTS, PROVIDING SUPPORT FOR THREAT EVALUATION IDENTIFICATION & CLASSIFICATION ANOMALY DETECTION 30 NAVIGATION SAFETY VIA IMAGE PROCESSING INCREASED TRACKING ACCURACY PLATFORM AND CREW SAFETY"
advent_cms.pdf:p32:c1,advent_cms.pdf,32,official,900,166,True,False,"Combat-proven ADVENT CMS offers all the features of a cutting-edge Combat Management System. Additionally, it supports the following features that many others lack: • Ability to conduct joint operations and exchange data - interoperability across diverse platforms (surface, sub-surface, air, land, etc.) thanks to Network Enabled Capability. • Built-in Tactical Data Links (TDLs) - simultaneous access to multiple TDLs, including NATO Links (Link 11/16/22, JRE, SIMPLE, VMF) and National Links (Link-Y, Link-Green, Link-ID, LINK-H) • Hardware independence - allowing for the integration of new sensors & weapons in the future, thanks to ADVENT’s expansion capacity and modular architecture • Advanced training features to enhance operator capabilities • Cost-effectiveness due to the integration of sensor and weapon systems from various OEMs (Europe, China, and USA) • Lifetime software maintenance"
advent_cms.pdf:p32:c2,advent_cms.pdf,32,official,364,70,True,False,"• Cost-effectiveness due to the integration of sensor and weapon systems from various OEMs (Europe, China, and USA) • Lifetime software maintenance and hardware support • Inclusion of training and technology transfer • AI Supported features • Unmanned vehicle (UxV) direct control ADVENT CMS PINNACLE OF COMBAT MANAGEMENT SYSTEMS ADVENT COMBAT MANAGEMENT SYSTEM 31"
