chunk_id,coherence,self_containment,boundary_quality,size_fitness,acceptable,rationale,status
advent_cms.pdf:p29:c1,4,3,4,4,True,"clear topic, sufficient context, no broken thoughts, appropriate length",completed
advent_cms.pdf:p30:c1,4,4,4,4,True,"clear connection to ADVENT CMS, relevant context provided",completed
advent_cms.pdf:p30:c2,5,4,5,5,True,"clear and concise language, well-structured text, adequate context provided for the topic of ADVENT CMS training.",completed
advent_cms.pdf:p31:c1,4,3,5,4,True,"clear and focused topic, sufficient context provided, no broken sentences or unclear ideas, adequate length for the topic.",completed
advent_cms.pdf:p32:c1,4,3,5,4,True,"clear topic, sufficient context, no broken thoughts, and appropriate length.",completed
advent_cms.pdf:p32:c2,4,3,3,3,True,"clear topic, some context needed for specific features",completed
advent_cms_kamuya_acik_arastirma.pdf:p1:c1,4,4,4,4,True,Kamuya açık araştırma ve RAG gösterimi amacı taşır.,completed
advent_cms_kamuya_acik_arastirma.pdf:p1:c2,4,4,4,4,True,"veri ve NATO standartlarıyla uyumluluk hedeflegtirmesi, taktik veri bağlantılarını destekleme, farklı platformlardan gelen verilerin paylaşılması ve koordineli görev icrası için altyapı sunması",completed
advent_cms_kamuya_acik_arastirma.pdf:p1:c3,4,4,5,5,True,"Koordineli görev için altyapı sunar, temel işlev grupları desteği ve taktik resim oluşturmayı amaçlar.",completed
advent_cms_kamuya_acik_arastirma.pdf:p2:c1,4,3,3,3,True,"Kamuya açık broşürde hedef hareket analizi, iz ve hedef yönetimi, taktik planlama, seyrüsefer, hedef angajmanı ve farklı silahların ateşlenmesi ile güdümü gibi işlevler listelenir. Bu, bir coherent topic.",completed
advent_cms_kamuya_acik_arastirma.pdf:p2:c2,4,3,3,3,True,"coherent topic, sufficient local context, no broken words or severed thoughts, appropriate retrieval context",completed
advent_cms_kamuya_acik_arastirma.pdf:p2:c3,4,4,4,4,True,verifiable information about ADVENT Network Supported Data Integrated Combat Management System,completed
advent_cms_kamuya_acik_arastirma.pdf:p2:c4,5,5,5,5,True,"clear and focused topic, sufficient local context, no broken thoughts or words, appropriate length for retrieval context",completed
advent_ai_kamuya_acik_arastirma.pdf:p1:c1,4,3,3,3,True,"Kamuya açık araştırma özeti, kapsam ve veri sınırı net bir şekilde belirtilmiştir.",completed
advent_ai_kamuya_acik_arastirma.pdf:p1:c2,4,3,3,3,True,"Kamuya açık kullanım alanları ve RAG projesi ile ilgili açıklamalar, coherent ve self-contained bir şekilde sunulmaktadır. boundary quality ve size fitness scores, tek bir thought'un intactnessini koruduğunu ve fragment veya bloated olmadığını göstermektedir.",completed
advent_ai_kamuya_acik_arastirma.pdf:p1:c3,4,4,4,4,True,"coherent topic, sufficient local context, no broken words or severed thoughts, appropriate retrieval context",completed
advent_ai_kamuya_acik_arastirma.pdf:p1:c4,4,3,4,4,True,"coherent topic with some minor contextual issues, clear boundaries between ideas, suitable length for the context",completed
advent_ai_kamuya_acik_arastirma.pdf:p1:c5,4,4,4,4,True,"coherent topic, sufficient local context, no broken words or severed thoughts, appropriate retrieval context",completed
advent_ai_kamuya_acik_arastirma.pdf:p2:c1,4,4,4,4,True,"Coherent topic, sufficient local context, no broken words or severed thoughts, appropriate retrieval context, neither too short nor too long.",completed
deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c1,4,3,3,3,True,"Genel bir topic, local context limited but sufficient, no broken words or severed thoughts, appropriate retrieval context",completed
deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c2,4,4,4,4,True,"verinin bulunabilirliği, erişilebilirliği, kalitesi ve yeni teknolojilere uyumu veri-merkezli referans mimarisinin temel hedefleridir.",completed
deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c3,5,4,5,5,True,"veri paylaşımını destekleyen bir deniz komuta-kontrol sistemi açıklanırken, tüm işlevler belirtilir ve sistem description coherent ve self-contained.",completed
deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c4,5,5,5,5,True,"veri verimi ve verinin uygun being used for AI applications, clear explanation of AI concepts and their usage.",completed
deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c1,5,5,5,5,True,"Genel bir tema ve konuların bir araya gelmesi, RAG prototipine uygun ilkeler sunması ve kaynaklar listelenmesiyle coherent ve self-contained bir metin oluşturulmuştur.",completed
deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c2,4,3,5,4,True,"clear and focused topic, sufficient local context, no broken words or severed thoughts, appropriate retrieval context",completed
